product_id,brand,product_line,product_class,product_size,list_price,standard_cost,num_purchase,net_profit,total_profit
66,Solex,Standard,medium,medium,1163.89,589.27,202,574.62,116073.24
67,Solex,Standard,medium,large,1071.23,380.74,201,690.49,138788.49
68,OHM Cycles,Standard,medium,medium,1636.90,44.71,146,1592.19,232459.74
69,Giant Bicycles,Road,medium,medium,792.90,594.68,214,198.22,42419.08
70,Trek Bicycles,Standard,high,medium,495.72,297.43,167,198.29,33114.43
71,Solex,Standard,high,large,1842.92,1.00,137,1841.92,252343.04
72,Norco Bicycles,Standard,medium,medium,360.40,270.30,186,90.10,16758.60
73,Solex,Standard,medium,medium,1945.43,333.18,139,1612.25,224102.75
74,WeareA2B,Standard,medium,medium,1228.07,400.91,195,827.16,161296.20
75,Giant Bicycles,Touring,medium,large,1873.97,863.95,138,1010.02,139382.76
76,WeareA2B,Standard,low,medium,642.31,513.85,155,128.46,19911.30
77,Norco Bicycles,Road,medium,large,1240.31,795.10,213,445.21,94829.73
78,Giant Bicycles,Standard,medium,large,1765.30,709.48,151,1055.82,159428.82
79,Norco Bicycles,Standard,medium,medium,1555.58,818.01,207,737.57,152676.99
80,OHM Cycles,Touring,low,medium,1073.07,933.84,223,139.23,31048.29
81,Solex,Standard,medium,medium,1151.96,649.49,187,502.47,93961.89
82,Giant Bicycles,Road,medium,medium,1538.99,829.65,196,709.34,139030.64
83,Solex,Touring,medium,large,2083.94,675.03,159,1408.91,224016.69
84,Giant Bicycles,Road,medium,medium,792.90,594.68,177,198.22,35084.94
85,WeareA2B,Standard,medium,medium,752.64,205.36,188,547.28,102888.64
86,OHM Cycles,Standard,medium,medium,235.63,125.07,178,110.56,19679.68
87,Giant Bicycles,Standard,high,medium,1179.00,707.40,174,471.60,82058.40
88,Norco Bicycles,Standard,medium,medium,1198.46,381.10,180,817.36,147124.80
89,WeareA2B,Touring,medium,large,1362.99,57.74,195,1305.25,254523.75
90,Norco Bicycles,Standard,low,medium,363.01,290.41,224,72.60,16262.40
91,WeareA2B,Standard,low,medium,642.31,513.85,189,128.46,24278.94
92,WeareA2B,Standard,medium,small,1415.01,1.00,211,1414.01,298356.11
93,OHM Cycles,Standard,high,medium,1458.17,874.90,168,583.27,97989.36
94,Giant Bicycles,Standard,medium,large,1635.30,993.66,148,641.64,94962.72
95,Giant Bicycles,Standard,medium,large,569.56,528.43,188,41.13,7732.44
96,Giant Bicycles,Standard,medium,large,1635.30,993.66,161,641.64,103304.04
97,Solex,Standard,medium,large,202.62,151.96,142,50.66,7193.72
98,Trek Bicycles,Standard,high,medium,358.39,215.03,155,143.36,22220.80
99,Trek Bicycles,Road,low,small,1720.70,1.00,152,1719.70,261394.40
100,Norco Bicycles,Road,medium,medium,1036.59,206.35,129,830.24,107100.96
